CTD,Date,T-Surface,T-Bottom,S-Surface,S-Bottom
,8/31/2019,31.50486016,33.16668622,20.72862967,22.75534026
,9/1/2019,31.63865352,31.68364461,21.65178959,21.66466212
,9/2/2019,31.42526031,31.55889606,21.50428486,21.65959525
,9/3/2019,31.56262883,32.8956631,21.52589734,24.28060714
,9/4/2019,31.84137575,33.05457417,21.76988125,25.83762217
,9/5/2019,31.70532719,33.45746342,22.35781447,25.69135094
,9/6/2019,31.43293095,31.57391699,23.70132327,23.78418628
,9/7/2019,30.84115084,30.64671373,23.48423775,23.86584775
,9/8/2019,31.6418221,31.15845935,21.16677856,23.64580361
,9/9/2019,31.55334282,32.25299962,19.69602625,22.90146677
,9/10/2019,31.07491748,32.84673055,19.01268983,22.47699753
,9/11/2019,31.17523472,32.56954734,18.88713487,21.86345442
,9/12/2019,31.68336535,32.88650481,19.75727065,21.78312826
,9/13/2019,31.93393715,33.66244555,20.79495414,23.02585061
,9/14/2019,31.90364353,33.04152393,22.02377987,23.74531992
,9/15/2019,31.58152954,32.64879862,22.65189679,24.29689074
,9/16/2019,31.52608458,32.38159116,22.64160705,24.18413289
,9/17/2019,31.78385671,32.72500022,22.98671055,24.2442975
,9/18/2019,31.7681818,31.68224112,23.18275785,23.30955815
,9/19/2019,31.35762302,31.39182194,23.16464329,23.19250989
,9/20/2019,30.11817257,30.15005851,23.33061353,23.33276947
,9/21/2019,29.22781293,29.24851227,23.49300909,23.49177798
,9/22/2019,29.01570559,29.00951155,23.35341152,23.35997105
,9/23/2019,29.38965098,29.06829198,23.20939302,23.3221457
,9/24/2019,29.39657744,29.29450782,23.18975465,23.23031656
,9/25/2019,29.48725168,29.29359166,23.16831907,23.2600232
,9/26/2019,29.81926926,29.40412156,22.68424352,23.1584634
,9/27/2019,29.70221774,29.980311,21.00153637,22.99223804
,9/28/2019,29.514256,30.29708648,21.38084992,22.57186564
,9/29/2019,29.82851696,30.8085231,21.33088207,22.56561327
,9/30/2019,30.22617674,30.99908471,21.35715477,22.43159167
,10/1/2019,30.59566418,31.42732,21.66568057,22.7798303
,10/2/2019,30.97771112,31.50168316,22.01943803,23.00007828
,10/3/2019,31.07232396,31.73213315,22.36308328,23.29016542
,10/4/2019,31.34835649,31.4045802,22.6772542,23.00953531
,10/5/2019,31.31806032,31.164814,22.75089773,22.76293556
,10/6/2019,30.75177272,30.78620768,22.80599014,22.80667639
,10/7/2019,30.1041127,30.09366703,22.80891363,22.81842001
,10/8/2019,29.54770994,29.57778525,22.91396244,22.91752418
,10/9/2019,29.13556735,29.0751032,22.99549413,23.021631
,10/10/2019,28.81534346,28.83485881,23.06438589,23.06386431
,10/11/2019,28.44301486,28.43482455,23.08740536,23.09240937
,10/12/2019,28.28097065,28.38398147,23.13800454,23.22847271
,10/13/2019,27.79935813,27.54643186,23.17070063,23.30979546
,10/14/2019,27.73124353,27.80621314,23.38342977,24.05542437
,10/15/2019,27.55231603,27.98811022,23.72151677,24.35340436
,10/16/2019,27.53173224,27.55430102,23.87890291,23.8812724
,10/17/2019,25.92176104,25.96263417,23.75062704,23.75034444
,10/18/2019,24.53156773,24.56894557,23.88188092,23.88519923
,10/19/2019,23.33822179,23.34928409,23.76586747,23.76722391
,10/20/2019,23.60085201,23.18065135,23.77315052,23.84466815
,10/21/2019,24.67583934,23.86406994,23.7698942,23.79803101
,10/22/2019,25.32992148,25.33470424,23.64725844,23.64778233
,10/23/2019,23.59772603,23.63750203,23.72595747,23.72577556
,10/24/2019,22.44285274,22.4565359,23.91249887,23.96721697
,10/25/2019,23.23094479,23.18097838,24.10446413,24.17782418
,10/26/2019,24.71723151,24.71282911,24.28507582,24.28502806
,10/27/2019,24.39829469,24.41368238,24.2143023,24.31201879
,10/28/2019,23.81490604,24.54756061,23.83273753,24.76914779
,10/29/2019,24.12033765,24.27683703,23.82212647,24.75940466
,10/30/2019,24.57212814,24.67758838,23.93917433,24.44801799
,10/31/2019,24.65523362,24.67869314,23.95467861,23.95753614
,11/1/2019,19.72671413,19.89830899,23.00372791,23.47895702
,11/2/2019,17.38314907,18.96416195,19.3664209,23.6723175
,11/3/2019,17.44038765,17.64292304,18.01134833,18.84434907
,11/4/2019,17.29317665,17.73292732,12.69136647,21.74183138
,11/5/2019,18.5905176,17.98184784,13.04660861,23.51735489
,11/6/2019,19.26104021,18.21324555,19.53324143,23.22166499
,11/7/2019,21.26753966,19.34166161,14.01360166,23.0288616
,11/8/2019,21.06128462,20.19530606,15.8772134,22.0159057
,11/9/2019,18.61875145,18.76283828,18.82082665,19.4966104
,11/10/2019,18.07388584,19.00984859,16.62290136,19.44444354
,11/11/2019,19.42776283,19.3263634,15.78858984,19.36238805
,11/12/2019,19.68060525,19.2478617,16.95899383,17.80270636
,11/13/2019,14.80312252,15.09349918,12.78443559,13.46782482
,11/14/2019,14.2254798,14.95614858,13.24631472,17.07899543
,11/15/2019,14.72491241,14.91925732,13.71235033,15.78138431
,11/16/2019,14.48692524,14.49905523,13.88509365,13.88538917
,11/17/2019,14.58899486,14.65353322,12.71199779,14.13535702
,11/18/2019,14.93183633,15.48479911,13.67568334,17.76956034
,11/19/2019,15.50922064,15.78816545,14.87398307,18.61937197
,11/20/2019,16.44482748,16.39067014,14.59233391,18.19605668
,11/21/2019,17.35965157,16.36742282,14.82539805,17.83909472
,11/22/2019,18.72002618,17.10236502,15.76639605,17.44961588
,11/23/2019,20.07416979,19.72744385,15.94785289,16.07848982
,11/24/2019,19.43010616,19.46569618,15.90990202,15.90893944
,11/25/2019,18.13079556,19.1942567,15.54808935,17.66186297
,11/26/2019,18.91652735,19.30734762,16.53943606,17.67286793
,11/27/2019,20.53956485,20.21405729,16.90056046,17.10417596
,11/28/2019,20.45294523,20.47696161,16.86048349,17.40772597
,11/29/2019,19.77816947,20.53643545,17.12726776,18.9368848
,11/30/2019,20.09172821,21.06959192,17.38929009,19.29232415
,12/1/2019,18.6888655,18.7305394,17.79058441,17.79074589
,12/2/2019,14.9768974,15.82608088,14.5306435,17.51119439
,12/3/2019,14.50747947,15.7135851,11.23733656,17.7796758
,12/4/2019,15.65494243,15.66451848,11.70970233,17.88146806
,12/5/2019,16.78124309,16.25869862,10.61937447,17.79468886
,12/6/2019,18.36375054,16.47708925,13.24769727,17.71616451
,12/7/2019,18.11887129,16.9006079,15.81157573,19.39747413
,12/8/2019,19.0685161,18.46800844,16.3465968,19.42875361
,12/9/2019,20.25381064,20.05684598,16.60076348,16.61292768
,12/10/2019,17.6098659,17.63992206,16.58991536,16.59302179
,12/11/2019,15.1637133,15.15974534,16.02779762,16.03071729
,12/12/2019,16.18907686,15.79976817,16.06081327,17.74362175
,12/13/2019,16.774556,16.38544345,15.85172641,18.12053418
,12/14/2019,17.69455361,17.1359086,16.67232045,19.91650661
,12/15/2019,19.28667283,18.95324906,17.6461374,18.07233556
,12/16/2019,20.08036892,19.92030239,18.09923887,18.60412033
